Elastic_Modulus (GPa),Load (kN),Length_of_Beam (m),X-sectional Width b (mm),X-sectional Height h (mm),Max Deflection (mm)
198,3,9,66,98,44.453037
104,2,10,34,88,207.496
200,3,6,46,84,29.709087
150,4,15,67,102,316.45154
129,1,8,30,90,45.37028
141,4,8,68,98,56.73665
126,4,5,53,86,29.428509
190,3,6,44,89,27.487719
101,5,6,43,90,85.27985
129,2,13,31,85,447.2928
138,3,15,30,92,785.18353
109,5,15,43,98,956.33624
144,5,11,70,100,165.05457
196,2,12,42,85,170.90375
194,5,6,35,108,31.56623
181,3,13,68,88,196.45172
147,5,5,53,105,17.324429
176,2,5,55,81,12.149254
164,4,8,55,108,45.0601
139,4,13,68,84,392.16467
123,3,7,42,106,41.81031
170,3,13,41,103,216.345
137,1,12,69,82,82.88435
189,1,6,48,82,10.795659
161,3,10,63,90,101.43021
172,1,15,70,95,81.73659
154,1,8,58,108,11.37601
196,4,6,39,99,29.122421
120,2,5,67,91,10.315726
107,2,6,63,93,19.918222
180,4,13,66,90,253.67992
172,1,14,57,95,81.61124
193,1,6,65,100,4.304504
159,3,11,32,88,287.90167
143,3,5,56,88,17.179052
172,1,6,31,81,19.056738
195,1,6,65,99,4.390765
131,1,6,49,87,12.775228
189,1,13,51,105,49.223236
150,5,15,56,92,644.9722
191,3,7,44,97,33.53931
127,4,14,35,102,581.7171
150,1,14,47,98,103.38482
171,1,15,36,109,105.83655
174,2,12,49,92,130.13823
161,4,5,62,86,19.687796
107,2,12,62,108,103.38725
166,2,6,33,94,23.736582
183,5,10,40,102,160.9157
170,2,12,30,93,210.61763
107,5,5,43,91,45.06544
108,2,11,45,94,164.86491
145,1,15,62,85,152.82602
183,3,6,60,94,17.763523
124,5,9,33,106,186.97534
185,4,9,31,97,139.27682
185,4,11,66,98,115.82015
105,4,8,68,84,120.98566
149,3,14,45,107,250.55048
182,3,6,60,103,13.576277
176,1,9,35,92,37.994728
198,2,12,36,81,228.082
190,2,14,38,103,173.90227
156,2,8,50,93,40.80342
184,3,6,59,87,22.661436
101,4,7,40,109,65.559135
146,1,12,55,80,105.074715
138,2,14,69,81,271.12582
170,3,5,66,100,8.355616
134,5,13,52,95,459.6858
171,2,11,40,97,106.6048
117,5,13,45,104,463.70486
121,2,12,64,87,169.43013
119,4,14,65,93,441.03693
142,4,7,41,95,68.71492
139,5,14,41,91,798.6772
101,3,11,32,92,396.64728
103,5,6,47,110,41.90353
135,3,14,51,103,273.54562
106,5,6,51,90,68.51098
188,2,7,68,82,24.330767
149,5,9,36,110,127.63528
131,5,13,56,94,450.70996
106,5,13,61,91,563.6119
140,5,9,32,81,382.74054
100,3,11,48,102,195.9736
125,5,8,31,105,142.67253
179,5,11,39,104,211.87045
103,1,13,44,84,204.47598
179,4,10,32,89,247.64351
132,4,8,53,95,85.359
132,4,15,39,87,995.583
192,3,6,58,91,19.304634
186,4,12,34,101,265.2087
174,1,7,40,103,11.274914
179,4,12,70,83,241.18951
188,1,15,30,88,219.52635
116,1,12,57,103,59.79147
135,3,9,47,95,100.5047
181,1,13,68,98,47.413754
121,2,8,53,92,51.264328
128,3,7,65,109,23.875504
169,3,5,47,97,12.932173
162,1,11,41,82,90.86102
171,2,9,64,104,29.608843
129,2,8,65,110,22.938173
170,3,13,66,102,138.38785
145,4,11,56,86,257.70728
138,4,8,65,107,46.593594
151,2,7,59,87,29.23327
132,5,6,44,86,73.08728
154,1,9,67,83,30.89141
148,5,11,51,89,312.66995
166,5,6,51,107,26.033598
189,5,5,40,86,32.493977
178,3,12,65,92,143.84943
172,1,13,39,96,92.54721
175,3,5,53,99,10.417218
188,5,15,52,88,633.2491
172,2,15,41,102,225.4919
120,4,5,55,110,14.229446
152,4,8,46,104,65.09814
168,2,11,33,82,217.71246
103,1,6,32,101,15.90166
118,4,13,61,96,344.98843
163,4,13,47,105,247.7289
113,3,8,70,97,53.19117
155,4,14,64,85,450.4179
128,3,7,47,101,41.503376
191,3,11,65,87,122.105385
165,5,6,31,104,46.926495
166,3,10,41,101,106.95602
125,3,11,36,89,314.67105
196,2,8,53,84,41.578632
184,3,12,49,92,184.59827
116,1,8,51,102,20.388313
127,3,8,68,92,57.102497
148,5,11,58,88,284.41357
111,5,14,70,105,381.3337
125,3,13,43,95,357.55435
152,2,14,31,110,218.76143
145,4,8,65,92,69.76299
144,3,8,70,99,39.261337
137,5,12,69,110,171.67459
198,2,11,69,93,60.55987
183,2,8,32,99,45.053993
103,2,15,55,96,336.68994
185,3,12,34,98,218.9153
191,4,11,41,110,127.6976
169,1,11,44,94,53.875973
112,2,10,40,85,181.73358
172,1,9,44,82,43.6762
193,4,8,33,82,145.79988
165,5,15,44,98,617.4033
116,1,12,35,97,116.58495
135,3,11,49,83,263.92175
107,1,15,41,103,176.00883
179,4,15,45,86,658.7383
106,5,12,70,92,373.8405
117,2,8,31,81,132.81201
176,1,12,49,91,66.47385
109,3,14,64,105,254.842
105,4,9,50,99,143.10756
200,4,10,64,108,62.018143
116,2,14,47,82,456.4116
114,5,15,65,94,685.4599
199,1,11,63,109,20.49486
154,2,11,55,80,153.45982
177,5,10,37,80,372.79068
156,5,5,50,95,23.364397
117,5,15,46,110,588.9278
143,2,5,33,100,13.244331
113,4,8,31,106,122.71912
127,1,14,43,80,245.34769
189,5,8,57,85,96.73564
139,2,8,41,109,34.686607
174,2,12,43,107,94.26375
200,1,13,64,105,37.06741
187,1,12,48,81,90.561966
186,2,6,40,95,16.930899
150,3,15,32,92,677.2208
124,2,15,70,102,183.19919
142,1,6,42,104,8.049263
167,4,8,33,100,92.9051
154,2,15,42,92,335.05048
120,3,9,57,85,130.15952
119,4,8,58,94,89.31234
110,2,13,70,91,189.31506
177,4,6,59,83,36.17381
199,3,7,56,102,21.75273
184,2,9,41,84,81.51884
139,3,14,65,84,384.30792
142,1,8,47,85,31.229641
141,5,9,61,99,109.19003
126,5,12,54,89,450.31808
153,3,15,33,84,845.847
185,3,5,58,90,11.985166
191,3,10,30,96,147.9425
106,1,5,43,91,9.098117
119,2,12,58,108,99.3728
106,2,12,53,88,225.67528
146,5,13,50,90,516.0475
195,1,14,61,109,44.532818
183,1,5,49,90,4.780522
155,4,13,38,92,479.01743
167,1,7,62,110,6.222256
192,4,11,53,89,185.53719
107,2,14,41,110,234.96782
134,5,15,37,93,1057.8605
142,2,9,34,95,88.0561
177,1,12,56,85,70.968506
109,3,12,46,99,266.38828
182,5,14,41,97,503.64407
154,5,14,56,94,478.85254
195,3,6,41,93,25.191132
167,3,8,51,98,47.9034
175,3,12,36,89,291.80615
178,1,15,46,97,112.90697
132,1,8,69,81,26.44429
143,4,5,67,99,13.446015
172,2,9,40,92,68.03707
135,1,11,43,84,96.71147
133,1,6,49,95,9.664408
185,3,14,35,93,395.14523
123,2,12,30,90,321.1884
183,2,12,64,106,61.939125
148,3,13,55,91,268.62274
136,3,13,61,99,204.69958
156,2,10,41,96,88.3584
137,4,10,60,98,129.25578
111,5,5,42,95,39.09101
184,2,13,63,93,117.8129
167,5,7,51,83,88.04064
151,1,5,40,93,6.4322696
155,3,11,32,89,285.48782
125,1,6,43,96,11.355378
107,4,10,33,99,291.87485
148,5,5,53,91,26.433716
147,5,14,39,102,563.7826
141,5,7,59,110,38.72175
144,5,12,47,94,384.2464
147,5,13,38,101,477.17206
135,5,9,36,93,233.10545
112,1,13,33,105,128.37198
146,1,15,46,91,166.71663
199,5,9,63,106,61.027607
115,5,9,50,104,140.8866
154,2,12,38,80,288.36295
165,5,5,40,99,24.398912
180,5,14,68,90,384.4016
112,5,14,55,87,845.5819
189,1,8,40,105,14.625822
116,3,15,40,109,421.24768
191,4,8,45,85,96.99901
130,2,5,69,83,12.18578
135,4,10,42,81,331.86533
154,4,6,41,110,25.702248
156,4,14,44,81,752.23193
152,2,14,45,88,294.34048
188,3,14,69,86,249.42677
132,1,7,38,91,22.68571
150,2,7,49,94,28.092684
119,3,7,30,105,62.247116
171,5,8,52,108,57.135925
187,4,8,63,86,68.32702
191,1,11,69,85,41.11297
126,5,10,60,106,138.82593
137,5,15,47,96,740.54535
180,2,7,68,87,21.277714
161,4,14,51,80,652.7067
174,1,10,33,103,39.8442
182,3,8,36,80,114.468864
155,5,8,39,107,86.4236
163,3,8,63,84,63.090683
165,2,5,56,80,13.211073
156,3,7,58,97,31.15212
185,3,7,58,99,24.708712
157,2,13,66,99,109.25741
167,1,7,34,106,12.680056
175,1,14,66,84,100.20843
102,2,8,39,108,51.086235
108,2,7,64,93,30.846899
116,2,5,65,87,12.587831
110,3,13,37,97,443.59
136,1,10,69,86,41.88482
145,3,11,56,85,200.18268
155,5,12,41,106,285.37805
161,5,7,33,82,146.36012
118,3,9,40,110,87.02995
124,3,6,35,92,47.936
134,1,14,32,105,138.1979
183,3,14,52,84,364.8825
199,5,11,60,83,243.69658
117,4,15,30,85,1565.7048
169,1,7,68,92,9.582416
139,3,11,31,85,377.22986
144,1,9,34,107,30.386087
192,3,6,39,93,26.896782
132,3,5,42,81,31.819475
154,4,9,58,95,95.19365
184,3,7,63,97,24.31542
139,4,9,69,94,91.51243
134,3,7,39,105,42.52243
153,4,8,32,101,101.499626
135,2,13,30,104,241.12654
113,4,6,57,83,58.649754
169,4,9,64,97,73.84917
189,1,8,66,85,16.708885
151,3,14,41,85,541.2873
102,5,15,43,102,906.38904
148,2,10,34,85,161.79779
140,4,5,48,91,24.68406
125,1,14,51,89,152.64195
191,1,5,45,105,3.140771
178,1,6,40,95,8.845919
107,2,7,54,99,30.590107
134,2,12,63,87,155.42134
109,1,6,46,86,16.932228
116,3,13,64,109,171.38542
120,5,14,68,105,363.10822
142,5,8,67,102,63.38935
183,1,14,50,110,56.32808
104,4,14,67,82,714.22394
182,3,5,69,93,9.281154
199,1,10,54,96,26.295382
135,1,11,45,106,45.98902
116,2,6,63,104,13.137877
161,3,11,40,95,180.79343
178,4,8,50,104,51.14226
179,1,14,44,83,152.32954
162,2,6,35,84,32.136814
117,2,15,41,99,362.55045
171,4,8,33,98,96.40103
130,1,7,44,96,16.94433
192,3,10,32,93,151.76137
153,1,15,46,95,139.82785
141,2,14,68,102,134.84212
111,1,5,57,109,3.8139298
154,2,15,42,100,260.8998
157,2,10,69,108,36.639538
115,2,9,64,104,44.02706
120,5,5,31,100,42.002686
136,2,11,45,96,122.90879
183,4,13,70,102,161.61453
194,5,7,56,100,39.465206
114,5,8,37,90,208.13536
144,2,11,63,94,88.32049
153,4,12,57,94,238.55795
153,5,6,46,89,54.41824
124,2,13,47,88,276.58746
191,1,5,65,81,4.7363987
112,3,11,64,107,113.68155
144,1,6,52,86,11.337899
113,5,8,39,108,115.2831
185,2,13,35,98,180.25282
112,5,10,47,107,193.83974
148,4,13,39,93,473.2111
179,5,13,43,84,601.9781
157,4,9,44,88,154.8557
135,1,13,39,85,169.8693
140,4,6,35,90,60.46863
129,5,7,55,98,64.205696
127,1,10,32,107,50.21517
191,4,13,37,102,292.95065
157,3,11,37,103,157.26288
187,5,9,35,99,143.49023
144,4,10,47,85,240.59293
167,4,6,37,108,27.750084
175,4,5,34,91,27.878466
188,2,7,69,81,24.877235
173,3,5,39,81,26.146013
197,4,12,33,84,448.4621
160,3,14,52,97,271.02344
163,2,14,65,106,108.72653
113,2,8,52,105,37.634857
126,2,5,67,110,5.5623283
184,5,13,36,96,468.60403
107,3,13,66,87,354.32828
194,5,15,51,94,513.36743
177,1,12,43,83,99.267654
147,1,6,42,102,8.241886
181,2,12,62,82,139.63745
172,1,11,60,101,31.294949
144,5,12,54,80,542.5347
125,1,7,35,110,14.72577
127,2,10,40,94,118.5012
197,3,15,40,82,582.59564
170,3,12,42,93,225.66176
194,2,6,47,98,12.584789
112,2,14,51,101,233.13193
105,3,15,37,101,632.38257
162,3,14,39,92,418.31387
173,4,9,50,96,95.25718
101,3,9,39,81,261.1847
152,4,14,56,89,457.2803
114,3,8,58,97,63.63312
196,2,11,66,108,40.839157
128,5,7,50,88,98.30512
166,2,11,36,100,111.362114
200,1,7,46,106,7.8257985
174,5,14,61,102,304.51907
108,4,15,61,91,679.8232
116,2,15,70,98,220.80533
131,2,7,37,82,64.172585
108,5,14,47,83,1181.7844
194,1,9,37,89,36.015884
132,4,13,54,99,317.65582
142,3,7,56,108,25.680752
101,4,6,30,93,88.626236
104,5,10,61,85,320.84116
168,1,10,53,103,25.694677
195,2,13,64,87,133.66808
194,2,11,70,108,38.90246
189,3,6,52,109,12.7283
158,5,8,38,96,120.48295
191,1,15,31,82,258.45038
154,3,6,68,105,13.363416
152,1,13,66,110,41.134335
105,5,11,42,80,736.8507
195,5,12,57,90,266.57336
154,3,11,52,100,124.656586
116,3,10,31,102,196.53554
142,5,11,53,85,359.97067
156,4,10,68,100,94.26848
179,3,5,38,80,26.919357
126,2,7,64,97,23.302279
176,3,15,68,81,397.9774
131,3,8,31,99,97.45242
161,5,11,65,85,258.87616
126,2,12,68,87,153.13573
175,2,13,40,94,188.93764
117,5,14,30,89,1386.1716
190,4,5,39,90,23.140049
133,2,7,59,95,25.491163
108,1,12,42,108,75.60307
165,3,15,69,89,315.37842
111,5,9,47,110,131.23166
190,1,6,39,101,7.073127
100,4,7,59,94,69.99363
120,3,6,45,88,44.02235
193,2,12,44,95,118.667816
115,5,13,48,85,810.1104
197,5,9,42,92,141.43553
108,4,11,58,87,322.67737
159,4,11,30,81,525.05475
120,3,8,41,110,58.6392
174,4,9,45,100,93.10345
142,3,10,69,97,83.870384
139,2,10,48,103,68.58076
163,5,9,36,104,138.0535
197,3,14,40,80,510.0928
127,3,9,42,95,119.55422
130,2,11,59,89,123.07862
156,1,8,66,86,19.545467
108,4,8,45,90,144.51276
154,5,7,36,84,130.47974
148,4,13,47,89,448.02316
176,4,6,47,100,26.112186
145,5,13,35,82,981.437
196,5,10,54,89,167.52905
193,4,5,35,90,25.38383
142,1,5,37,84,10.035109
148,4,9,45,80,213.78801
112,5,7,68,108,44.689545
149,5,7,34,86,133.0588
135,2,8,39,83,85.03689
160,4,11,56,97,162.76268
189,4,11,31,108,180.33635
139,5,13,37,104,474.70468
112,1,9,66,105,21.297943
149,3,9,35,97,114.873344
192,4,13,65,99,181.43031
165,1,10,55,102,25.959291
102,3,5,65,106,11.872445
117,3,6,36,96,43.472332
179,3,6,45,82,36.47606
162,1,6,61,84,9.219579
102,1,9,67,102,25.129972
184,3,5,43,98,12.58945
170,4,5,58,83,22.17169
159,5,14,56,97,422.07907
169,3,11,35,94,203.18936
142,4,11,69,110,102.061646
175,4,12,33,83,523.30804
125,5,6,38,80,111.01974
142,5,15,54,104,489.10452
186,5,7,44,101,50.848064
108,1,5,52,100,5.564459
102,1,15,48,83,301.39642
194,5,15,32,97,744.5894
174,4,14,58,104,241.7168
156,3,12,61,94,163.97098
131,4,5,35,91,36.178165
196,4,7,60,82,52.898727
198,1,10,34,105,32.079533
101,2,6,47,109,17.56811
200,3,10,64,88,85.981155
149,5,8,63,88,100.04725
179,4,11,42,110,133.0141
187,5,15,49,93,572.3969
107,3,7,34,110,53.12692
120,5,11,70,104,176.07948
126,1,10,42,87,71.74017
188,5,11,56,83,276.38083
141,1,9,45,92,36.88692
146,5,12,38,108,309.06232
163,4,12,37,97,313.93463
150,3,15,42,85,654.2409
162,1,11,42,94,58.88032
113,3,8,41,109,64.001396
102,4,9,58,84,207.90335
185,2,14,31,81,450.15866
140,1,12,49,109,48.6273
194,3,5,57,80,16.558643
194,2,15,38,93,284.58344
109,1,14,51,109,95.29013
178,4,8,33,84,147.06122
141,1,6,37,90,14.198596
191,2,6,58,110,7.3246074
162,1,7,67,109,6.1004915
194,2,8,37,82,64.683716
179,5,13,49,89,444.14108
117,1,9,57,85,44.498978
197,3,10,32,82,215.77618
188,2,9,54,102,33.83338
186,5,14,55,82,608.1027
149,3,10,32,99,162.1136
152,2,6,60,81,22.28301
190,4,13,32,93,449.2392
143,3,11,67,87,158.22339
145,2,8,66,107,21.836182
139,1,5,54,100,4.1633363
182,1,14,69,95,63.713696
151,2,12,31,95,215.28032
120,1,7,31,93,28.657764
125,2,9,30,80,189.84375
103,1,15,49,83,292.379
113,4,14,64,108,301.19962
196,4,15,41,104,373.36517
147,4,15,30,80,1494.7385
194,5,11,33,95,303.1109
170,4,7,53,85,61.988705
165,4,13,63,103,193.41667
188,1,11,36,102,46.329456
109,3,9,65,98,81.99185
199,4,7,49,109,27.162231
137,1,9,49,89,38.510654
102,3,8,45,102,78.83481
137,5,10,61,109,115.4995
147,4,15,53,88,635.6712
181,5,12,64,92,239.4593
189,5,6,56,101,24.759953
176,5,5,56,85,25.814428
127,5,12,60,95,330.6191
160,4,12,34,90,435.72986
160,5,6,70,84,40.673157
131,2,13,49,91,227.09547
125,1,15,70,80,188.33705
109,2,7,35,83,78.620415
166,4,14,68,88,356.7131
195,4,6,46,98,25.584862
126,1,8,68,83,26.127403
194,2,14,61,88,170.1275
130,4,12,36,94,444.54355
137,4,5,48,88,27.893318
123,3,8,55,100,56.76275
190,3,12,69,95,115.30057
133,5,8,63,95,89.08755
103,3,11,51,84,320.62256
169,3,11,52,87,172.50095
134,1,13,31,96,149.44792
134,4,9,62,94,105.644646
110,4,9,49,95,157.74947
193,4,11,58,88,174.47963
135,2,9,65,84,70.08298
189,2,6,43,94,15.999631
161,2,13,51,101,129.84938
187,2,5,31,83,18.855692
194,2,11,31,109,85.44863
117,5,7,36,99,104.90839
154,1,7,64,86,13.678487
148,3,8,62,90,57.405075
127,5,10,44,86,351.6886
108,5,7,63,110,47.343655
162,1,11,55,90,51.228638
187,3,14,66,105,144.04292
143,1,12,63,107,39.143154
152,5,15,40,98,737.2283
117,1,13,30,103,143.20273
134,1,8,42,92,29.207369
129,1,5,65,86,5.8593793
124,5,14,66,95,488.8298
194,5,15,61,95,415.79703
178,4,15,42,86,709.7561
163,3,5,68,81,15.91548
196,2,8,33,87,60.105217
149,4,6,46,88,46.244667
195,4,14,44,97,350.41412
132,1,8,65,94,17.961357
145,5,15,36,98,858.6873
189,4,11,56,98,133.61339
145,2,7,44,90,36.873634
134,2,8,37,82,93.64657
178,4,12,66,88,215.83994
195,5,7,35,98,66.7457
194,4,6,67,108,13.191858
193,2,11,46,95,87.43033
103,2,7,69,82,43.765938
197,2,8,56,102,21.866798
177,4,12,35,85,454.19843
109,3,5,52,90,22.688925
189,5,15,56,108,316.4191
114,1,5,32,105,7.3999248
199,4,7,45,84,64.62353
172,3,6,36,106,21.966782
167,2,11,44,100,90.568855
166,3,7,67,107,18.880833
200,2,6,63,104,7.619969
105,3,9,70,99,76.66478
146,5,8,67,103,59.874325
173,2,6,38,97,18.000263
108,2,6,44,83,39.747795
160,2,14,60,103,130.78899
116,1,5,66,107,3.3319366
178,3,15,65,97,239.71016
110,2,5,57,89,14.139774
188,3,7,37,104,32.877274
167,1,15,36,87,213.12631
151,3,7,63,99,27.869703
116,4,15,65,90,614.0092
135,2,6,60,109,10.295778
171,5,7,64,84,66.09829
191,3,10,56,103,64.16943
102,1,12,68,94,74.98789
178,5,7,41,103,53.76363
115,2,13,34,90,385.38586
147,5,15,41,101,679.389
154,2,10,49,95,77.282715
170,1,15,32,81,291.8501
157,4,7,42,93,64.66904
137,2,6,40,88,28.919796
100,3,9,41,87,202.51033
150,1,11,56,103,36.251595
115,4,9,33,102,181.01527
161,1,12,41,82,118.695015
152,5,5,30,81,64.4763
165,3,10,52,106,73.39329
194,4,5,41,90,21.557425
142,5,6,52,90,50.1585
119,4,13,66,109,216.00294
185,3,6,30,103,26.712242
171,3,7,49,95,35.809013
191,3,6,61,98,14.773167
194,1,11,62,91,36.71136
111,2,5,50,87,17.101307
124,2,15,70,98,206.55981
191,3,14,69,84,263.46628
135,3,8,49,82,105.28339
175,5,15,51,107,385.8551
134,5,15,70,89,637.98566
139,4,14,61,100,323.62305
182,2,8,37,87,57.731
125,5,9,33,95,257.6575
165,4,9,61,83,126.67166
158,4,8,67,91,64.1821
168,1,13,33,97,108.55046
127,1,12,46,109,57.100864
183,2,6,53,90,15.27458
174,4,12,68,87,221.78278
183,4,10,31,83,308.2854
191,2,5,31,94,12.708709
112,4,10,48,103,170.22723
167,3,14,32,110,289.33493
114,5,9,43,84,313.63632
162,4,14,47,80,703.8843
147,2,11,56,81,152.12045
122,5,7,56,90,86.08525
127,4,7,61,96,50.043404
179,2,12,64,80,147.30272
105,5,13,47,101,540.1181
146,3,7,34,100,51.823128
135,3,12,38,105,218.23264
158,5,8,64,88,92.87416
133,2,14,68,103,138.82953
197,3,15,56,80,448.137
187,4,14,39,98,399.76028
135,4,10,47,104,140.10974
110,3,12,69,81,321.2981
177,2,12,56,99,89.83527
178,4,11,56,95,155.73965
174,4,15,34,96,644.8102
156,5,6,70,85,40.26098
139,1,15,47,85,210.30244
127,2,6,59,83,25.207731
148,3,12,40,94,263.5723
158,3,9,31,104,99.23617
142,4,10,32,108,174.69899
147,1,14,44,107,86.57704
100,5,11,49,104,301.85056
129,2,14,37,105,248.31032
151,5,7,68,103,38.2126
105,2,8,57,103,39.1439
180,4,6,70,98,18.213985
166,4,10,54,80,217.88544
127,1,9,45,103,29.183651
115,3,8,61,93,68.05416
113,5,9,63,106,107.4734
163,1,9,51,91,29.092804
194,4,11,50,82,248.86554
177,3,7,44,92,42.419544
162,4,15,70,98,316.21503
187,1,10,57,83,41.019398
166,2,11,48,108,66.302124
133,5,12,41,100,396.1122
160,4,15,56,108,299.01605
147,1,14,64,104,64.82265
111,1,7,65,81,22.363653
115,3,11,38,96,258.19284
181,5,6,41,103,33.295815
161,4,7,54,100,39.452496
134,4,14,50,86,643.8934
121,1,13,69,108,52.223305
154,3,10,48,104,90.198494
104,4,14,67,108,312.61133
140,1,10,40,104,39.687336
144,3,12,33,90,374.11148
161,5,8,37,102,101.23994
103,2,11,53,96,137.79112
140,2,5,50,106,7.496601
142,3,14,57,101,246.7846
146,4,10,63,88,159.53595
109,2,9,52,89,91.22159
118,1,6,59,105,6.7002635
125,1,10,45,86,69.875046
156,2,7,40,108,21.817665
112,1,14,43,89,202.05406
147,2,5,65,88,9.598454
175,5,5,47,81,35.746128
168,3,7,67,99,23.554058
163,1,11,61,98,35.556778
135,5,5,59,94,23.61841
161,2,8,44,88,53.028996
145,4,7,68,82,63.092194
190,4,10,47,105,96.73432
165,3,7,46,97,37.13628
126,3,7,53,96,43.540688
146,4,6,56,103,24.176933
153,4,12,36,95,365.914
130,5,7,59,105,48.28819
112,1,12,45,93,106.56249
170,3,8,39,103,53.00368
146,3,9,33,89,160.97263
180,1,7,67,99,7.327929
100,2,11,48,101,134.56828
105,3,5,38,101,22.805218
148,1,9,58,88,31.155148
128,5,5,64,84,32.180458
160,3,14,53,109,187.40019
117,1,12,32,88,169.31674
184,3,15,62,107,181.12325
146,5,15,67,107,352.05035
166,3,6,53,100,18.413275
155,3,13,32,95,387.47067
163,3,11,39,91,208.38332
102,4,9,46,107,126.828896
168,3,12,34,97,248.60027
110,4,9,48,90,189.39394
189,5,14,52,94,420.18973
143,4,13,58,110,199.01599
109,1,12,53,86,117.56716
172,5,5,48,81,35.61191
168,3,9,51,88,93.639984
179,5,6,58,92,33.397907
154,5,8,56,97,81.31226
108,1,11,42,91,97.34661
192,1,9,61,98,16.53325
132,2,12,42,110,117.08803
113,1,12,68,109,43.412712
135,4,11,51,108,153.4627
181,1,6,59,91,6.7102547
189,5,11,61,82,261.73083
142,1,5,69,93,3.9651878
182,1,6,59,97,5.510045
103,4,9,50,100,141.55339
111,4,9,67,106,82.30232
151,5,11,39,84,476.65994
141,1,7,63,95,11.259099
199,4,9,48,81,143.60785
132,1,11,34,87,112.59198
153,3,6,53,87,30.338211
101,1,14,45,80,294.7951
176,2,13,31,98,213.91806
172,1,7,61,86,12.84933
149,1,9,59,81,39.009846
199,4,14,51,108,214.62958
187,3,7,60,80,44.780872
199,3,7,61,80,41.390675
110,5,9,34,88,357.5345
133,5,6,36,106,47.34695
121,1,7,35,85,32.970375
121,4,12,35,83,713.60205
173,4,15,70,110,209.38791
179,1,5,63,81,5.214364
138,1,8,52,89,25.302156
104,3,9,64,83,143.66177
140,4,5,64,94,16.796486
163,3,9,53,106,53.13831
175,1,6,44,96,7.926644
147,2,11,37,83,213.9906
126,4,6,39,101,42.663303
122,2,6,33,83,46.91543
198,3,10,36,105,90.892006
150,3,7,52,105,28.490028
136,1,14,61,94,99.55699
130,1,8,62,83,27.774143
104,3,8,61,92,77.73285
160,3,11,36,108,137.57692
195,3,10,48,99,82.58095
188,4,15,30,101,580.8053
121,4,7,54,86,82.53148
137,1,8,61,93,19.04192
178,1,13,33,108,74.2275
163,4,8,43,85,118.94798
107,4,13,51,86,632.96655
190,1,11,43,106,34.196243
124,3,12,48,80,425.2772
136,2,9,50,108,42.551743
176,4,14,31,110,377.86066
114,3,14,38,108,377.1253
190,2,15,44,102,190.2116
194,3,6,66,97,13.862901
166,2,11,51,102,74.07459
158,3,15,42,88,559.7326
170,1,12,61,104,37.03437
131,4,13,46,107,297.61145
166,2,10,51,91,78.3732
147,4,6,63,109,18.01011
171,1,8,45,95,19.401287
157,3,11,30,87,321.8553
191,2,6,43,90,18.038252
192,2,11,38,108,72.408905
181,3,9,38,88,116.64835
157,3,11,47,108,107.39165
125,2,12,62,104,99.10876
104,2,15,58,105,241.66544
112,4,15,39,89,1096.0266
192,1,11,42,97,45.211857
152,4,14,61,102,278.87537
195,2,13,45,100,125.18519
160,4,9,47,100,96.94149
189,5,9,31,82,282.0801
120,4,12,50,99,296.8157
121,4,12,68,103,192.19308
147,2,12,43,83,239.05272
165,3,8,58,96,45.352955
193,1,6,58,87,7.325726
195,1,10,66,84,32.77356
155,5,11,59,97,199.33757
156,4,7,38,95,67.48622
156,5,6,42,91,54.68468
132,3,14,47,104,294.89917
151,4,13,42,97,379.56717
148,5,14,39,106,498.9422
142,2,14,48,90,276.11945
184,2,15,34,83,471.75095
137,3,5,50,100,13.686131
101,5,9,57,103,144.85371
172,1,5,57,99,3.2850435
136,3,12,44,108,171.92622
129,4,5,32,84,51.089596
169,4,6,66,110,14.549399
106,5,10,44,108,212.7552
191,5,13,52,83,483.58078
168,5,15,67,90,514.1291
157,1,11,62,101,33.178944
132,3,8,44,84,111.54928
123,4,7,46,105,52.367672
153,4,5,48,105,14.703117
127,3,14,64,81,476.43823
198,1,6,70,84,6.57344
103,2,9,38,102,87.755875
195,1,15,58,90,102.33487
142,3,14,51,92,364.9416
147,4,6,49,102,28.257896
116,2,9,46,89,96.8973
161,1,15,41,98,135.80815
109,3,15,40,80,1133.9099
175,4,11,61,103,114.10338
162,3,8,51,87,70.58108
148,4,12,55,96,239.94165
107,3,5,44,98,21.157124
109,1,7,65,86,19.028254
145,2,9,55,81,86.00264
134,4,14,55,110,279.7297
133,1,13,63,109,50.617233
148,1,6,45,106,6.807724
110,4,9,49,108,107.36618
158,5,8,63,91,85.321434
115,1,6,37,82,23.017208
198,4,5,31,92,26.152887
104,5,5,57,102,24.837696
157,3,13,34,105,266.65204
168,5,12,46,87,424.45227
108,1,12,61,110,49.26655
189,3,9,60,82,87.44484
139,5,7,70,88,64.66113
196,5,13,56,106,210.07693
139,5,6,46,102,39.791527
107,1,12,30,103,123.159256
179,4,6,59,93,25.427279
156,5,11,39,97,299.62888
121,2,5,51,104,9.003771
128,5,15,39,96,955.20264
179,1,5,43,81,7.63965
193,3,5,45,105,9.324672
199,4,10,61,83,144.07307
190,2,10,67,93,48.830673
109,1,6,37,108,10.629046
179,5,5,66,84,22.314398
111,4,8,69,108,53.067257
181,5,12,34,96,396.7186
105,5,11,36,93,547.20166
200,5,9,58,110,59.020313
200,4,13,63,87,264.7901
190,5,7,34,96,75.01669
150,4,6,62,104,20.647657
176,5,7,68,101,34.771103
176,4,14,55,86,445.66998
